Review,Rating
"so mooyah is a texas based chain and i read online that they want to open 5-8 of these places across cleveland in the next 5 years, but i really hope they don't do this.  i stopped by this new fast-food joint on a laid-back sunday evening and when i walked in i was greeted 3 times ""welcome to mooyah!"". a bit of an overkill, but thanks for the welcome. the interior was clean with plenty of tables and a get your own soda dispenser. the staff was comprised of 7 teenagers and 2 adult managers. i can only assume it was a training day for them all to be there because there were only a couple customers. i placed my order and was given a plastic card with a number on it for when they call my to-go order up. 

i started off with a plain single burger on an ""artisan"" white bun at $5.69 then added blue cheese .70¢, bacon .99¢, and lettuce. that's a total of $7.38 for a single bacon cheeseburger. so the burger, i'd actually call this a meat pancake because it was pressed out so thin and was bigger than the bun. also, the meat was salty and way over cooked. one side of the burger had a hardened crust from being on the grill so long and the meat was completely dried out, which is weird seeing as how there was a ton of grease on the packaging. not a lot of blue cheese - only tasted it in the center of the burger,  and for that .99¢ i got one strip of bacon broken into a couple pieces. the good here was the lettuce - they didn't skimp on it and it was fresh and crisp. 

the small fries come in at $2.49 but actually seem like a large amount that you could share. however i shared mine with the garbage can as they were over seasoned and over cooked. i'm not talking golden and crispy here, i'm talking brown and dried out. very disappointing. i ate about 1\/4 then threw the rest away. the spicy ranch sauce i used to dip a few fries in was good though. 

small oreo milkshake $3.49. it was good with whip cream and a cherry on top, i liked that it was not as sweet as the oreo shake at burger king. my complaints here are that they immediately make your milkshake so it's done and melting while the rest of your food cooks even though you asked for it to-go. so no lid and several times i had to wipe up dipping milkshake from my hands and from wherever i set down the cup. also if you want to substitute crushed oreo's instead of the chocolate chips in the mint milkshake that will cost you .70¢ more. 

i'm sorry but i just can't support this place, the food was not that good and to me it's overpriced for the quality they serve. usually i try to give places a second shot, but i have no desire to come back to mooyah. just go to five guys or bearden's or pay more and get a ""gourmet"" burger from flip side. *side note: i noticed a lot of 5 star reviews from people who have no picture, no friends, and haven't reviewed other businesses... now 7 of these reviews have been hidden by yelp so far, but it still makes me really weary that something shady is going on. if you sell a good product you won't have to write fake glowing reviews.",1
"this is the worse service i have ever seen anyone receive in a hospital.  my son and his wife recently went in to have their first child at this hospital and from the time we walked in the door i suggested to them that we leave and go somewhere else.  

my daughter in law went in bleeding during her 8 month pregnancy and was told to lie in a room and a doctor would see her in about 2 hours.  she waited in that room almost 10 hours without seeing a doctor and without the nurses explaining anything to her.  she didn't see a doctor until the delivery started.  the nurses didn't seem to care that she was in pain and just made jokes while she complained about being in pain.  they seemed to be more concerned about whether she had insurance than taking care of her.  they have food on the wards for patients and guest who stay with them but when my son asked them for a sandwich, which he had seen in the refrigerator they told hem they didn't have anymore even though he had seen it in the refrigerator.  they even forgot to feed her dinner the next day.  

it was a horrible experience that i hope to never have again.",1
"i tried this place for lunch and had a great experience.   i tried the sausage and peppers sandwich... that was awesome.   they even had march madness on tv.  i think the prices are a little on the high side but they're a mom & pop restaurant so i understand.  

i'll be back soon...",5
"fun!  kinda like a marcs combined with a big lots.  the place is huge and has aisles and aisles of books, toys, home items, tools, dvds, carpet, all kinds of things.  prices are pretty good - definitely cheaper than a ""regular"" store, but of course, some of the things here are a little on the ""junk"" side of things.  very friendly staff.",4
do not stay here. i have never had such a terrible experience staying at a hotel before. let alone a 4-5 star hotel. our room was broken into and we were robbed while staying here. the front desk staff was rude. even the front desk supervisor had some sass. i understand they are busy and probably deal with crappy people all day long but that's no excuse to treat every single person that comes through like crap right off the bat. i've had better customer service staying at a holiday inn. you're better off staying somewhere else.,1
"tried this place twice. first time got the korean taco and cucumber margarita. the korean taco was very flavorful but the beef was too sweet and fried for my taste. the cucumber margarita was unfortunately not as spicy as i had expected. the second time i tried the octopus (tako) taco and lychee and pepper margarita and it changed my life... mind blown! the margarita was amazing, not too spicy with this awesome smokey taste. the tako taco was perfection in taste. will definitely be back for this amazing combination.",5
"my family and i absolutely love this place. it's hard enough finding vegetarian restaurants, but to find one that's delicious and affordable? that's exactly what veggie house is. i cannot recommend it enough. do yourself a favor, go!",5
"tl;dr: never going back to this place after 15 years of being a customer. the worst food poisoning ever. 

my review will be in 2 parts, the first for the actual food. the second for the day after. 

for the record, i've been eating at tokyo house roughly 15 years. i work close by, and i've always lived in driving distance. i've loved this place since a kid. it use to be run by a little old man and his wife, but is now run by new owners... this is when everything has changed.

i went here last week and ordered beef yakisoba, a normal go to for me. i normally ask for it spicy but went regular this time around. normally i'm asked if i'd like rice or not (which i normally decline as the dish is suppose to be all noodles) i received my food, where immediately i knew something was different. since there was new owners, i figured there was a new cook and maybe things have just changed. i gave it a shot..... and i've never regretted a decision so much in my life. 

the normal dark consistency of the noodles wasn't there, it was a lite sauce lacking any real vegetables or meat for that matter. in total i counted 7 small pieces of beef. they added rice without asking (eh whatever) but on top of that the portions have changed fairly drastically from what it use to be. i get cutting back on portion sizes, but meat and vegetables to? what am i really paying for here? 8$ for just a bowl of noodles? the taste itself was a little sour, almost not pleasant but i kept going to see if it would grow on me. inside of the dish were water chestnuts, which were never in before and i enjoy them so no complaints. however biting into them was sour, almost like they were opened and sitting out over night. i stopped with the food about half way through and tossed it in the trash. 

------------------------------------------------------------------------------------------

disclaimer: tmi

the following day 6am strikes me with urgency. my bodys way of letting me know to get up now before you crap the bed. the hail storm of watery half solid chunks of feces spewed from my body with such force the water splashed around in the bowl. i knew today would be a bad day, i call out of a work and attempt to go back to sleep. 

within 30 minutes i'm up again, my body calling me back to the sacred holy ground which is my toilet. the only way to describe what was happening in there was this... imagine your a kid again in the pool and you fill up one of those water launchers and then you try to push it out with all your force. at this point i get in the shower and after i try to go back to sleep again.

30 minutes goes by again, at this point i'm up. as i'm sitting on the toilet for round 3, the urge to puke begins. as i'm bent over the tub praying to jesus i puke already a sensation rushes down to my sphincter. i jump into the shower and prepare for the worst. thats when it all happens. those convulsions you get from puking when you tense up so much you can't control the rest of your body. i release from both ends with such force. i turn on the water and it hits my back like cold little knives cutting my skin. i start to see the remains of one end of my body flow down the drain. i immediately begin to puke again. 

the rest of the day was constantly running back and forth from the bathroom, dry heves, and a fever. i could of went more into detail but i figured i'd spare you all the hardship.

i will never be going back to this restaurant. 15 years and you trying to cut corners on your food has lost you a loyal customer.",1
"chris was professional, on time and full of helpful information.  i appreciated his honesty and suggestions.  we have been costumes of az cold air for more than 10 years and have had only excellent service.",5
"western style place that captures a cowboy atmosphere. there's a lot of outdoor seating and a good happy hour food menu.

i got the riblets for happy hour. they were very good, especially at that price. meat falls off the bones. it's a wet style rib. 

we then did a line dancing class for $5. class was quite popular\/crowded and somewhat advanced. attracts an older crowd. overall a fun place.",4
"we use a higher end dog food to feed our pup so we're used to driving up to scottsdale to purchase it...so i was thrilled to discover that pet club opened a brand-spanking-new location near the biltmore!  not only is it clean and well-stocked inside but the prices for food, treats, etc. are far less expensive than competitors in the same caliber of pet stores.  i also want to commend the nice employee who carried my heavy, 35 pound bag of dog food out to my car for me.  welcome to the neighborhood, pet club!",5
"i have changed my mind about this place.  new bartenders are delightful.  janet is my favorite.  oh yeah... jessica, missy, and jamee too.  the people are so fun to hang with.  no need to come with anyone.. the place is welcoming.",5
very friendly and caring staff! dr brian page listened to my concerns and came up with a treatment plan that fits with my lifestyle. i felt he really care and i don't feel like i'm just a number in a medical center. great patient care.,5
"if your looking for great taste for indian cuisin this is the place. service is awesome! food is excellent! price is right on the dollar. my menu, chicken masala, chicken tikka and the tandoori chicken is the must have or at least try.  happy service+good food=happy customer.  one of my favorite place to go too atleast twice a month.  location not so hot, but who cares food is what we're talking about here.",4
"i've had cox 300mbps residential internet package for the last 3-4 years. it was constantly going in and out. so much so that i had to have backup cellular internet to automatically switch over every time cox would fail. switched to lv.net last week and can already tell a huge difference. speeds and service are always constant, regardless of the time of day. their residential 25mbps package is much more reliable and faster than cox's 300mbps plan. highly recommend this company.",5
"tldr: 
-no respect for residents
-management avoids all responsibility
-they only see you for money not as guests or residents.
-you can spend a lot less money to find better places around here
-they do not post all reviews on their websites, only the good ones.
-very unfriendly to students or anyone that likes it quiet
-hallways smell like urine, smoke, and bad moldy carpet. all trying to be covered up by terrible air freshener
-people steal packages because the office does not accept packages past their office hours, which are very limited as they go on long lunch breaks and close early most days
--take it from a future doctor, be smart and do not rent from these guys. unless you're into getting ripped off and disrespected, then go for it

current resident, just tried to ask for some help from the front desk during their saturday hours (closes at 5pm). i went there at 2pm, there was a sign on one door saying it was open, please come in. another sign on the front door said they would be back at 12:15. i thought the front desk was out showing people apartments, but i went to the front entrance and there was a guy sitting in the front office. i pointed to the door and he just put a really sour look on his face and shook his head. this continued until he just walked away and ignored me.
luckily, a guy looking to rent from them also arrived. i told him about what happened to me.
basically, if they treat their residents like this, why would you ever want to rent from them?

will update review later.

update:
called yvette in the front office at 4:30, after trying to get a hold of someone all day, she comes back to tell me that the reason the time signs weren't changed is because she was out. but, why wouldn't you change the time signs to tell people you're out??? then she tells me that the maintenance person did not get the door for me because he can't help me (but neither can she??). how am i supposed to know that he was in maintenance??  he didnt even have the courtesy to tell me anything. then yvette,  from the ever helpful front desk, tells us she cant even help us until her manager gets there 2 days from now. the number from to the front desk is listed as an ""emergency number,"" but i guess emergencies take two days to even look at. i told her that i will probably move if the problem persists and she just shook it off like she's not trying to retain any residents. she basically said anything to avoid responsibility. sick managing skills there yvette, wonder how that job interview went? like, can u answer phone calls and go to lunch for hours? yeah? you're hired.

i guess i'll go talk her manager, see if they're any less useless. will update.",1
"so as i was waiting to get my hair colored, i decided to stop into blu basil to try their version of a filet salad.. 

the salad was lovely, walnuts, cranberries, gorgonzola cheese, and mixed greens. i asked for the protein to be added. 

the original dressing it came with was no bueno - so i asked for some balsamic - which was a 100% better, but really thick and creamy -- trying to lose some lbs for my nye dress... 

like i said, the salad was lovely, but the meat was nasty... it tasted old... i tried salting it... covering it with dressing, but just could not get past that old frozen taste. 

this scares me and i'm pretty certain i will not return. the only reason it got two stars is the water tasted nice and the salad was fresh.",2
"this is my favourite starbucks in montreal, for the simple reason, i love the staff here, i used to do some of my freelance work here, and i got to know the staff. people can make a place so much better and that's exactly why i would give this place 5 stars.",5
"we stayed at the westin cleveland because there was a really great deal on living social.  we had an event at the convention center, located next door so it worked out perfectly.  i looked at reviews prior to staying and i don't think people truly understand what a one and two star hotel is.  this is not one of them.  

i travel to at least a dozen different cities throughout the year for work and stay in different hotels all the time.  cleveland is now a popular travel destination.  with a hotel like this and the location within the city, the price is expected.  the $30\/day valet fee is not unheard of, nor is the price of wifi in rooms.  i see this all the time at hotels like this.  

the hotel is clearly new as you can smell the new furniture and carpet in the rooms.  very spacey room with comfortable beds.  the bathrooms are nice and everything was clean upon arrival.  i found the hotel staff to be courteous and helpful.  

as far as location goes, this is a prime spot.  you are centrally located from cleveland browns stadium and the rock hall\/science center.  you are less than a half a mile from e. 4th street and all the restaurants and bars it has to offer (less than a 10 minute walk).  it would be another five minutes to the q and progressive field or casino. i;m sure it would be a cheap cab ride if you didn't want to walk.  

the days of downtown cleveland hotels being cheap are long gone.  there are a lot of things to do and the westin is a great place to stay!",5
"freaking incredible genius right here...  stopped at strip n dip with three teenagers while visiting vegas, and we all left feeling full and satisfied.  visiting vegas? take a break from the bank-busting buffets and experience a whole other kind of strip.  my only regret is that i didn't try the mac and cheese.",5
"food is delish steaks are out of this world and service was prompt! thanks to our great server brian warm and friendly always checking on us, defiantly be back but we will share a steak because servings are plentiful.",5
"any place that gives free samples of their food = a win in my book! plus, this place has a great combination of food! mmmmm i highly suggest the jerk chicken with jerk fried rice. =d",5
"the first time i went to bachi burger was because it was on the travel channel \/ food network and since i am a burger lover i thought i give this place a shot. when i went i really wasnt too thrilled about it. it was whatevers to me. i decided to give it a second try since my friend says its good and was surprised i didnt like it. this time it was what i expected! it was really good. that juicy, tender moist asian flavored burger was bomb... it was called spicy miyo .. for apps we had the fried calamari with a side of their flavored sauces and jalapeno on it. yumm!! for desert i had the portuguese donuts .. which was ok!the side of the coffee gelato was good. deff will come back next time i crave something exotic.",4
"well i've been here before a few years ago twice actually and wasn't much of a fan ...mostly due to the service to be honest .
but today a few of us came here to the patio , and boy was i pleased !!!
the food was actually very good ! very fresh and very impressed ! good portions aswell ! 
the atmosphere both outside and in very nice .
all in all it was a good afternoon and i'd definitely come back , atleast for the patio .",4
"* sigh *  thursday, july 2nd, 2009.  my last night @ el cardinal?

only time will tell.  my facebook page said this was going to be the 'last latin night' at the cardinal so, being as though i'm mostly a homebody in madison when it comes to late night, i had to go.

time to get all ""suited & booted"" so to speak; i mean ""the cardinal"".  i came here in college; when i turned 21 this was the place to go saturday night for musica de salsa y merengue.  i came here religiously, every saturday evening for 5 years straight to get my saturday salsa on.  then they switched it to thursday and began 18 and up night here and i stopped going so much...

i enjoyed the atmosphere tonight, even with the teeny boppers.  it was a serious reunion.  people i hadn't seen in years were there, it was great.  we took lots and lots of photographs.

the place had a good vibe going tonight; david muhammad was dj'ing some merengue, ol' skool salsa and freestyle.  wow.  incredible.  i have missed the place; the two (2) corey's were bar tending as well as paulo and my stoli strawberry & 7-ups were really right on the money tonight.

all in all, cardinal you were something else; moments like these really make me feel old even being in my early 30's.  at the end of the evening i hear it is not only the last latin night but it's closing in a day or two (semi) permanently.  * sigh *  a true madison icon this place is.

your jagged tile floor.  

you're hot-n-steamy windows.  

your new and improved ladies room.  

your 'dance on me' speakers.  

i hope to be at your re-opening\/return should there come such a day...",4
"i receive fine service every time i come here. the employees are mainly hispanic as noted in a previous review, but this is a hispanic neighborhood. there is no language barrier and i am always treated with the utmost care when i bank here.",5
"the amber rose is a fairly standard pub for this area of edinburgh. situated in the centre of the new town area of edinburgh, the amber rose is just around the corner from the pub central area of edinburgh, rose street and it is a short walk from the main shopping street, princes street and so it is a convenient place to reach. 

it would be very easy to walk straight past this pub and completely not notice it as it on basement level and you have to walk down stairs to get to it, but it is worth a visit. i only came here by complete chance one evening on a pub crawl, and i was glad i did. the staff were the one thing which really stood out for me as they were incredibly welcoming and friendly, definitely some of the best customer service i have ever received. the amber rose serves a good selection of beers, ales, wines and the usual spirit selection, and the drinks are all competitively priced, with a large glass of the house white wine costing under £5. 

food is also served here, and they have a good menu selection of the traditional pub foods such as steak pies, fish and chips, sandwiches and burgers which are also well priced. whether you just want a quiet drink or if you want to make a big night of it, the amber rose is the place to go.",4
"warning!  if you come here with a group of asian guys be prepared to wait for hours and pay extra (bouncer fee) just to get into the pay entrance line.

worst experience and this was this past thursday night! we were there early before 10pm. first off, they didn't approve our guestlist even though we had a print-out. the security who seemed to handpicked almost everyone that was non-asians got in regardless there were on guestlist or not. 

around 11:30pm (we were only about 10 feet from the entrance) trying to buy our way in, security wanted $50 a pop!! wtf!  we all figure heck were really close so let's wait. 

12:45 am and now we are at the front of the line, non asians folks kept on passing us by. as i look back, i see other asians groups going thru what we went thru.

1:15 am - having no choice and tried of waiting, we finally convinced the security ($20 a pop) which then we ended up paying another $30 entrance fee. once inside, we were already pissed and felt discriminated. the waterfall and music was nice but our night felt ruin....

to all of my azn brothers - stay away from this place!!",1
"tacos are awesome. tons of different meats & salsa to choose from. the best piña colada drink i've ever had!!! it's a hole in the wall, but my favorite place to get tacos in phoenix and they also had tripas that was crispy good.",5
"what a find in a strip mall! the inside is warm and cozy, and i love the open air dining room and patio. like ashley a. and kristin s. said, the live music, while good, was much too loud. carrying on a conversation, while possible, was hampered due to the music.  our server was very nice and let three of us who arrived before happy hour ended at 7 to put a last minute drink order in for us; attentive and patient while waiting on six women.  plus, she was very nice to run 5 different credit cards to pay the bill.

the menu was diverse and included small plates, entrees, and pizza. everyone at the table tried a pizza and the consensus was that they were all very good.  i tried the bruschetta pizza and it was delicious, and i'm not even a huge gourmet pizza fan. my husband ate my leftovers for dinner on friday night, and he said it was delicious as well and it heated up nicely (you never know with leftovers how they will taste the next day!). i thought some of the prices of the small plates were a tad high, but not sure the size of them.  

i'm taking one star off because i didn't find the happy hour price of my wine very much of a deal.  $7.50 for a glass of riesling at happy hour? maybe i'm spoiled by caffe boa's happy hour, but i don't find $7.50 much of a happy hour deal (the glass normally was $9.50). maybe $2 off during happy hour is a deal at a place like javino's, but i've seen better happy hour specials other places.",4
"safety concerns here!
the rooms are spacious, the pools are great,  nice bars and we love pub 365.
the best wings-- ever!
but the gym could be improved with mats, things like a bosu ball medicine balls and jumpropes. 
heck - even some music would be nice. 
the doors leading to the buildings don't always lock and that's a safety issue.  
our biggest complaint is security. our first night there,  we got a call to our room at 10:15 pm.
it was someone saying they were with the hotel and they needed to come in our room because the previous guests left something in the room,  possibly in the safe.
my husband told them no,  because it seemed false. 
we notified security the next morning,  they didn't care.  we saw a patrolling security guy the next day, told him and he didn't care.  
we notified the front desk.  they didn't care.  imagine if we had let that caller in our room.  we would have been robbed!
its going to happen to someone. but no follow up from security to us in efforts to track the call. 
another issue was a red headed female security guard accused my husband of jumping the wall. she says she saw him do it.  apparently they have homeless people jumping the brick wall and wandering the parking lot.  
my husband was walking laps around the complex for exercise. 
she called him a liar, said she saw him jump the wall.   he told her the date we  checked in,  said what room he was staying in, his name and kept walking.  when he came by her a few minutes later,  she said she checked and that he lied to her.  what!?
you don't call a guest, who doesn't look homeless, wearing work out clothes,  carrying a bottle of fiji, a liar three times.
we've stayed here 45 days or more in the last few months so you'd think we wound be known,  and even get some accommodations for being a reoccurring customer.
but when we needed to stay one extra day, we could not get a discount rate like we found available on line when we booked the trip, and had to pay a much higher rate for that one extra night.   no customer service!
we will stay at another hotel from now on.",1
"we have improved!! stopped in for a quick pick me up. the staff has changed and are much more friendly than before. they are attentive and carrying. besides that, had over the coffee and i'll see ya later.",4
"i went to this place twice in two days.  the first day i sat at a table and was served quickly and the food was hot, right off the griddle  the server was very attentive and conversational.

the next day i sat at the counter and the server behind the bar (hard to label her a ""bartender"" at 8:00 am) was very engaging and friendly.  again, the food was served quickly and was right off the griddle and the coffee was fresh and hot.  

the menu is unique with several great options.  if you're in the area and haven't tried this place, find it.  this place is definitely worth finding.",4
"if i could score lower i would, just called to place an order and they said they were closed, even they close at 9pm...its 8:15pm... first time to try them, last time too...poor service - i guess the staff wants to go home already...???",1
new tapas bar tapa opeded in leith check it out 0131 476 6776,5
one of the best shows i have seen. they engaged the crowds and were entertaining. the show was sold out and it was just a great time.,5
"sometimes ok, but today i had the worst new england clam chowder of my life.  gritty clams, appears to not be cream based(a defining characteristic of ne clam chowder), undersalted, and utterly tasteless.  i usually find this place to be underwhelming and overpriced but i keep giving it another shot for some reason.  probably that awesome cubano they make.  i should just stick to that.",2
"i had to give this place a second chance. it wasn't a really clean experience but the food here is great! the workers are really nice and friendly. wait wasn't that long. 

i will be back to this restaurant.",4
"since the eagle closed this is the place to go for your leather \/ levi gay bar experience in charlotte. it's a hole in the wall but it's a fun hole in the wall which is my style. oh, and for cheap eats to soak up all the alcohol miguel's on business center drive right down the street is serving the best cheapo mexican food in charlotte. one of the two gay bars in north carolina worth bothering to visit in my opinion.",5
"not impressed with the service at all! in fact i would say my first and last visit was atrocious!!
the ""waitress"" if i could call her that was horrible...uncaring about her job and clearly unhappy with waiting on customers... not judging just reporting facts. when the waitress rolls her eyes at you when you say you need a few more minutes!! when you ask the waitress what dressings there are for salads and the waitress points at the menu makes you well aware you have chosen the wrong local establishment to support! piss poor service. piss poor food as well! such a shame though.....i would strongly suggest driving a bit further to blakeney or stonecrest!",1
i eat at rubio's here and there but have never been to this location before. i loved the food as always and i was particularly impressed by the girl bri who worked there. she was very happy and smiley while she was taking my order. i watched as she interacted with other guests (i have been in the restaurant business too) and i was impressed by how she handled herself and other guests. i think she is a great employee and i wanted to share that. i always love the salsa bar with chips! yum!,5
"from out of town and had heard about this place. 
not impressed at all! 
subs were okay. price was alright. 
workers are extremely rude!  need better customer service skills. 
there are so many other choices in pittsburgh, where the staff are friendly and welcoming. 
pass on this one.",1
greasy.  bland.  poor service. flat root beer.  weak sauce.,1
"just got home from dim sum with the family here. i come here for dim sum about once a month. it's one of the better dim sum places in vegas. the line can get pretty long, so we try to come around 11am. today the line started getting long just after 11:15am. 

the food off the dinner menu is good too, but the portions are small. salt & pepper frog legs is one of my favorite dishes here. yup. i said frog legs!! soft like fish and sorta tastes like chicken.",4
"this place has a nice cozy ""farm to table"" feel to it with its reclaimed wood tables, bearded and tattooed bartenders, etc. but let's pull back the hipster facade to examine what really matters...service and food. our server was actually quite good explaining the menu, being attentive as much as possible. yes there were lulls in the service but i would attribute that to overall staffing levels. if you want your own personal entree to come at the same time.. forget it. your side will come and then your protein will come 10 min later. and this varies for each person at the table. the food reviews at the table were also mixed. after i received the salmon for the second time (first time rushed from the kitchen and undercooked) it was good but nothing special. the trout was also dull. the whole chicken & lamb burger received thumbs up. brussels, mac & cheese - although good, nothing special. conclusion: like any ""kid"" this one has some maturing to do.",3
"i called mobile mechanics for a second opinion after the first diagnosis of a blown headgasket and recommendation for a replacement engine (my car had less than 90k miles at this point) at a cost or $4k. the mechanic confirmed the diagnosis and noted a single error code on my receipt indicating a faulty temperature sensor. i spoke to the owner, who stated that the gasket could be replaced and the engine rebuilt at a cost of ~$2k. 

this began a long ordeal with mobile mechanic and the shitty shop he contracts out to in n las vegas, garcia auto repair (http:\/\/www.yelp.com\/biz\/garcia-auto-repair-las-vegas). i had 2 subsequent breakdowns leaving me stranded in the middle of vegas each time after less than 25 miles of driving. 

the bottom line is that they failed to replace the faulty sensor, which resulted in the head gasket blowing a second time. because the engine block could only take one round of resurfacing my engine was irreparably damaged due to their negligence. mobile mechanic forced me to pay for parts for the second head gasket even though they gave me a 1 yr, 10k mileage warranty. the head of the shop told me, ""you can just keep bringing it in when it breaks down."" the mobile mechanics owner refused to take my calls at this point, so i was screwed. i was afraid to drive my car lest i be stranded in miles from home, so i ended up having to spend the $4k to get the engine replacement at the first shop.",1
"my husband & i think this is the best sushi in the area. every roll that we have tried has always been fresh. if your not into sushi, their lo mein is awsome!",5
"propriétaire hyper sympathique, bonne bouffe, bon prix. le meilleur libanais à lasalle!",5
"it's tough to give a fast food chain 4 stars but this is by far my favorite. i just call it ""crack""cause it addicting. i love the crispy outside of the chicken. the meat is definitely high quality. the sauce is perfect and the side bread is incredibly tasty and incredibly unhealthy. crinkle cut fries are perfect.",4
the staff was amazing and very pleasant! the menu was simple and there were lots of choices. even though it's in the middle of the casino you wouldn't have noticed once you were seated. it is a cute little spot.our server was hilarious and very tentative to us and all his tables. the food was delicious ... this is a place you must visit while in vegas!!!!,5
"words cannot describe how pleased i am with my new cover letter and resume. lindsay is so awesome. this is the best service that i have ever received! lindsay is so thorough and patient. she went above and beyond to answer all of my questions and i will forever be grateful to her for doing so. i was so miserable in numerous positions that i've held throughout my life because i was never passionate about any of them. it finally resonated with me that it was time to pursue a career that would make me happy, so that i could stop job hopping all over the place and become something other than a jack of all trades, master of none. i previously had a resume written by resumewritinggroup and it was horrible. i wouldn't even let a preschooler apply to kindergarten with that resume. i finally came across domyresume.net and i will forever be a customer. thank you #lifechangers",5
"*angels singing* *harps playing* holy moly! what a glorious restaurant experience at bistro 19. this restaurant has been on my ""to visit"" list for years now, but i just never make it out to mt. lebanon. i finally got to visit with a group of friends during restaurant week and i have to say that i'm so glad i left the grit and grime of the city to venture across a very fancy crosswalk and into b19. 
 
we made a reservation for 6:30 and were seated right away. i started off the night with an ""apples and pears"" cocktail which consisted of apple infused boyd & blair vodka, pear nectar, angostura bitters, vanilla-nutmeg syrup, fresh lime juice, and hard cider. it was like someone poured the spirit of christmas into a mason jar-- perfectly spiced and perfectly wonderful.

after drinks, we ordered a trio of hummus to share: plain, pesto, and red pepper. the hummus was a hit. 

next came a basket of bread and butter. the butter got some major praise around the table. i inquired about the butter because it was just too good and i couldn't place the flavors. turns out it's a honey and chive whipped butter. who knew that those flavors would go together so well. 

we all decided to try out the restaurant week special menu. for $35.16 we got to pick between two appetizers, two main courses, and two dessert options. i opted for the wild burgundy snails and leek goat cheese fondue on a baguette for my first course,  the roasted lamb gnocchi for my second course, and chocolate bundt cake to round it out.  the snails were good and the cake was good, but the lamb + gnocchi really stole the show. the lamb was so tender and with just the right amount of fat, that it practically melted in my mouth. the gnocchi were seasoned perfectly and cooked perfectly. i think i lost the ability to speak for a good 15 minutes. the only sounds i could make were repeated ""mmmmmms"". it was definitely one of the best dishes i've eaten in pittsburgh.

overall, it was a great experience. the service was top-notch and the atmosphere was the perfect mixture of comfy and classy. my only regret is not trying bistro 19 sooner. just think of how many honey chive butter experiences i could have had by now if i visited 5 years ago when i first heard of the place....",5
"shoubu sushi has now been sold to new owners who have unfortunately cheapened the experience.  most of the dishes that made shoubu a standout restaurant are now gone.  the individual sushi pieces have been made significantly smaller while the prices have remained the same.  there is also a new chef whose skills leave a lot to be desired (some sushi pieces are mis-formed, others are missing key ingredients (like salmon in the spicy salmon roll).  i would not recommend returning to this restaurant.",1
"eclairs to die for! the word foodgasm does not even begin to describe the feeling i got with the first bite! i just want to drown in the filling! 

also- the ii purist is delish. 

every time i go i give their herb infused olive oils the googly eyes but never end up taking it home. lol i will one day!",5
"i have stuff that angie and her t-shirt ninjas made me from 3-4 years ago and the shirts still rock.  the prices aren't bad at all for what you get.  if you're an artistic idiot, like me, then their sales reps can help you design anything you want.  i have two hoodies, some boxers, car decals, and a handful of different shirts done.  no peeling or cracking on the vinyl.

one caution: don't bring in anything about chuck norris.  it's against the store rules, i guess.",5
